_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
5978,FY 2015-16,Treasury Board Secretariat,Main Estimates,33,Treasury Board Central,600000000
5979,FY 2015-16,VIA Rail Canada Inc.,Main Estimates,1,Payments to Crown Corps,330077000
5980,FY 2015-16,Veterans Review and Appeal Board,Main Estimates,1,Operating/Program,9460756
5981,FY 2015-16,Windsor-Detroit Bridge Authority,Main Estimates,1,Payments to Crown Corps,58469905
5982,FY 2015-16,Atomic Energy of Canada Limited,Supplementary Estimates A,1,Payments to Crown Corps,164900000
5983,FY 2015-16,Canada Border Services Agency,Supplementary Estimates A,5,Capital,15425965
5984,FY 2015-16,Canada Border Services Agency,Supplementary Estimates A,1,Operating/Program,1700001
5985,FY 2015-16,Canadian Food Inspection Agency,Supplementary Estimates A,1,Operating/Program,7400001
5986,FY 2015-16,Canadian Food Inspection Agency,Supplementary Estimates A,5,Capital,31116639
5987,FY 2015-16,Canadian High Arctic Research Station,Supplementary Estimates A,3,Operating/Program,1
5988,FY 2015-16,Canadian Institutes of Health Research,Supplementary Estimates A,5,Grants & Contributions,1
5989,FY 2015-16,Canadian Security Intelligence Service,Supplementary Estimates A,1,Operating/Program,15344881
5990,FY 2015-16,Canadian Space Agency,Supplementary Estimates A,5,Capital,3310000
5991,FY 2015-16,Canadian Space Agency,Supplementary Estimates A,1,Operating/Program,690000
5992,FY 2015-16,Correctional Service of Canada,Supplementary Estimates A,5,Capital,8850000
5993,FY 2015-16,Department for Women and Gender Equality,Supplementary Estimates A,1,Operating/Program,412083
5994,FY 2015-16,Department for Women and Gender Equality,Supplementary Estimates A,5,Grants & Contributions,480000
5995,FY 2015-16,Department of Agriculture and Agri-Food,Supplementary Estimates A,10,Grants & Contributions,32996000
5996,FY 2015-16,Department of Agriculture and Agri-Food,Supplementary Estimates A,5,Capital,15450000
5997,FY 2015-16,Department of Agriculture and Agri-Food,Supplementary Estimates A,1,Operating/Program,-7400000
5998,FY 2015-16,Department of Canadian Heritage,Supplementary Estimates A,5,Grants & Contributions,-1340000
5999,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,5,Capital,4501519
6000,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,10,Grants & Contributions,109462639
6001,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,1,Operating/Program,278127454
6002,FY 2015-16,Department of Fisheries and Oceans,Supplementary Estimates A,10,Grants & Contributions,4303802
6003,FY 2015-16,Department of Fisheries and Oceans,Supplementary Estimates A,5,Capital,152552709
6004,FY 2015-16,Department of Fisheries and Oceans,Supplementary Estimates A,1,Operating/Program,46471301
6005,FY 2015-16,"Department of Housing, Infrastructure and Communities",Supplementary Estimates A,1,Operating/Program,10000000
6006,FY 2015-16,"Department of Housing, Infrastructure and Communities",Supplementary Estimates A,5,Capital,34355295
6007,FY 2015-16,Department of Industry,Supplementary Estimates A,10,Grants & Contributions,85011275
6008,FY 2015-16,Department of Industry,Supplementary Estimates A,1,Operating/Program,8549955
6009,FY 2015-16,Department of Industry,Supplementary Estimates A,5,Capital,4422876
6010,FY 2015-16,Department of Justice,Supplementary Estimates A,1,Operating/Program,627474
6011,FY 2015-16,Department of Justice,Supplementary Estimates A,5,Grants & Contributions,1325371
6012,FY 2015-16,Department of National Defence,Supplementary Estimates A,1,Operating/Program,111652445
6013,FY 2015-16,Department of National Defence,Supplementary Estimates A,5,Capital,108194584
6014,FY 2015-16,Department of Natural Resources,Supplementary Estimates A,1,Operating/Program,237888974
6015,FY 2015-16,Department of Natural Resources,Supplementary Estimates A,5,Capital,39586996
6016,FY 2015-16,Department of Public Safety and Emergency Preparedness,Supplementary Estimates A,1,Operating/Program,4512167
6017,FY 2015-16,Department of Public Safety and Emergency Preparedness,Supplementary Estimates A,5,Grants & Contributions,-22678263
6018,FY 2015-16,Department of Public Works and Government Services,Supplementary Estimates A,1,Operating/Program,40400000
6019,FY 2015-16,Department of Public Works and Government Services,Supplementary Estimates A,5,Capital,29800000
6020,FY 2015-16,Department of Transport,Supplementary Estimates A,10,Grants & Contributions,-15425964
6021,FY 2015-16,Department of Transport,Supplementary Estimates A,5,Capital,58265700
6022,FY 2015-16,Department of Veterans Affairs,Supplementary Estimates A,5,Grants & Contributions,15900000
6023,FY 2015-16,Department of Veterans Affairs,Supplementary Estimates A,1,Operating/Program,7565681
6024,FY 2015-16,Department of the Environment,Supplementary Estimates A,10,Grants & Contributions,4000000
6025,FY 2015-16,Department of the Environment,Supplementary Estimates A,5,Capital,7550000
6026,FY 2015-16,Department of the Environment,Supplementary Estimates A,1,Operating/Program,9550278
6027,FY 2015-16,Financial Transactions and Reports Analysis Centre of Canada,Supplementary Estimates A,1,Operating/Program,3839764
6028,FY 2015-16,House of Commons,Supplementary Estimates A,1,Operating/Program,13227332
6029,FY 2015-16,Impact Assessment Agency of Canada,Supplementary Estimates A,1,Operating/Program,6234050
6030,FY 2015-16,Marine Atlantic Inc.,Supplementary Estimates A,1,Payments to Crown Corps,354947000
6031,FY 2015-16,National Arts Centre Corporation,Supplementary Estimates A,1,Payments to Crown Corps,20500000
6032,FY 2015-16,National Museum of Science and Technology,Supplementary Estimates A,1,Payments to Crown Corps,29355000
6033,FY 2015-16,National Research Council of Canada,Supplementary Estimates A,10,Grants & Contributions,52340807
6034,FY 2015-16,National Research Council of Canada,Supplementary Estimates A,1,Operating/Program,46953832
6035,FY 2015-16,National Research Council of Canada,Supplementary Estimates A,5,Capital,25600000
6036,FY 2015-16,Natural Sciences and Engineering Research Council,Supplementary Estimates A,5,Grants & Contributions,1
6037,FY 2015-16,Office of the Commissioner for Federal Judicial Affairs,Supplementary Estimates A,5,Operating/Program,2000000
6038,FY 2015-16,Office of the Commissioner for Federal Judicial Affairs,Supplementary Estimates A,1,Operating/Program,1000000
6039,FY 2015-16,Office of the Director of Public Prosecutions,Supplementary Estimates A,1,Operating/Program,8000000
6040,FY 2015-16,Office of the Governor General's Secretary,Supplementary Estimates A,1,Operating/Program,1793008
6041,FY 2015-16,Parks Canada Agency,Supplementary Estimates A,1,Operating/Program,349432181
6042,FY 2015-16,Parole Board of Canada,Supplementary Estimates A,1,Operating/Program,613916
6043,FY 2015-16,Royal Canadian Mounted Police,Supplementary Estimates A,1,Operating/Program,42126263
6044,FY 2015-16,Royal Canadian Mounted Police,Supplementary Estimates A,5,Capital,6902000
6045,FY 2015-16,Royal Canadian Mounted Police External Review Committee,Supplementary Estimates A,1,Operating/Program,600001
6046,FY 2015-16,Social Sciences and Humanities Research Council,Supplementary Estimates A,5,Grants & Contributions,1
6047,FY 2015-16,Statistics Canada,Supplementary Estimates A,1,Operating/Program,1
6048,FY 2015-16,The Jacques-Cartier and Champlain Bridges Inc.,Supplementary Estimates A,1,Payments to Crown Corps,58064000
6049,FY 2015-16,Treasury Board Secretariat,Supplementary Estimates A,1,Operating/Program,17102060
6050,FY 2015-16,VIA Rail Canada Inc.,Supplementary Estimates A,1,Payments to Crown Corps,26200000
6051,FY 2015-16,Windsor-Detroit Bridge Authority,Supplementary Estimates A,1,Payments to Crown Corps,402625007
6052,FY 2015-16,Department of Citizenship and Immigration,Supplementary Estimates B,5,Grants & Contributions,99939154
6053,FY 2015-16,Department of Citizenship and Immigration,Supplementary Estimates B,1,Operating/Program,177970047
6054,FY 2015-16,House of Commons,Supplementary Estimates B,1,Operating/Program,9511972
6055,FY 2015-16,Parliamentary Protective Service,Supplementary Estimates B,3,Operating/Program,3111253
6056,FY 2015-16,Treasury Board Secretariat,Supplementary Estimates B,5,Treasury Board Central,519572387
6057,FY 2015-16,Atlantic Canada Opportunities Agency,Supplementary Estimates C,5,Grants & Contributions,5172480
6058,FY 2015-16,Atomic Energy of Canada Limited,Supplementary Estimates C,1,Payments to Crown Corps,52283692
6059,FY 2015-16,Canada Border Services Agency,Supplementary Estimates C,5,Capital,28239010
6060,FY 2015-16,Canada Border Services Agency,Supplementary Estimates C,1,Operating/Program,24404463
6061,FY 2015-16,Canada Council for the Arts,Supplementary Estimates C,1,Payments to Crown Corps,127001
6062,FY 2015-16,Canada Revenue Agency,Supplementary Estimates C,5,Capital,1073312
6063,FY 2015-16,Canada Revenue Agency,Supplementary Estimates C,1,Operating/Program,72931825
6064,FY 2015-16,Canadian Air Transport Security Authority,Supplementary Estimates C,1,Payments to Crown Corps,6513787
6065,FY 2015-16,Canadian Energy Regulator,Supplementary Estimates C,1,Operating/Program,16078537
6066,FY 2015-16,Canadian Food Inspection Agency,Supplementary Estimates C,5,Capital,262501
6067,FY 2015-16,Canadian Food Inspection Agency,Supplementary Estimates C,1,Operating/Program,263581
6068,FY 2015-16,Canadian High Arctic Research Station,Supplementary Estimates C,3,Operating/Program,8239414
6069,FY 2015-16,Canadian High Arctic Research Station,Supplementary Estimates C,9,Grants & Contributions,-1716972
6070,FY 2015-16,Canadian High Arctic Research Station,Supplementary Estimates C,7,Capital,-6259365
6071,FY 2015-16,Canadian Institutes of Health Research,Supplementary Estimates C,5,Grants & Contributions,16533614
6072,FY 2015-16,Canadian Northern Economic Development Agency,Supplementary Estimates C,5,Grants & Contributions,63000
6073,FY 2015-16,Canadian Nuclear Safety Commission,Supplementary Estimates C,1,Operating/Program,103491
6074,FY 2015-16,Canadian Radio-television and Telecommunications Commission,Supplementary Estimates C,1,Operating/Program,-96626
6075,FY 2015-16,Canadian Security Intelligence Service,Supplementary Estimates C,1,Operating/Program,-453241
6076,FY 2015-16,Canadian Space Agency,Supplementary Estimates C,5,Capital,-13840000
6077,FY 2015-16,Canadian Space Agency,Supplementary Estimates C,1,Operating/Program,13840001
6078,FY 2015-16,Canadian Tourism Commission,Supplementary Estimates C,1,Payments to Crown Corps,5000000
6079,FY 2015-16,Communications Security Establishment,Supplementary Estimates C,1,Operating/Program,38765007
6080,FY 2015-16,Correctional Service of Canada,Supplementary Estimates C,5,Capital,2251554
6081,FY 2015-16,Correctional Service of Canada,Supplementary Estimates C,1,Operating/Program,1788446
6082,FY 2015-16,Department for Women and Gender Equality,Supplementary Estimates C,5,Grants & Contributions,105001
6083,FY 2015-16,Department for Women and Gender Equality,Supplementary Estimates C,1,Operating/Program,76000
6084,FY 2015-16,Department of Agriculture and Agri-Food,Supplementary Estimates C,10,Grants & Contributions,35521769
6085,FY 2015-16,Department of Agriculture and Agri-Food,Supplementary Estimates C,5,Capital,5452738
6086,FY 2015-16,Department of Agriculture and Agri-Food,Supplementary Estimates C,1,Operating/Program,6851667
6087,FY 2015-16,Department of Canadian Heritage,Supplementary Estimates C,5,Grants & Contributions,8351933
6088,FY 2015-16,Department of Canadian Heritage,Supplementary Estimates C,1,Operating/Program,1381293
6089,FY 2015-16,Department of Citizenship and Immigration,Supplementary Estimates C,5,Grants & Contributions,45191000
6090,FY 2015-16,Department of Citizenship and Immigration,Supplementary Estimates C,1,Operating/Program,-4448871
6091,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,10,Grants & Contributions,120354069
6092,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,5,Capital,100000
6093,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,1,Operating/Program,110333479
6094,FY 2015-16,Department of Employment and Social Development,Supplementary Estimates C,5,Grants & Contributions,1369224
6095,FY 2015-16,Department of Employment and Social Development,Supplementary Estimates C,1,Operating/Program,59086199
6096,FY 2015-16,Department of Employment and Social Development,Supplementary Estimates C,9,Debt Forgiveness,175959012
6097,FY 2015-16,Department of Employment and Social Development,Supplementary Estimates C,7,Debt Forgiveness,62859
6098,FY 2015-16,Department of Finance,Supplementary Estimates C,1,Operating/Program,4452906
6099,FY 2015-16,Department of Fisheries and Oceans,Supplementary Estimates C,1,Operating/Program,50263172
6100,FY 2015-16,Department of Fisheries and Oceans,Supplementary Estimates C,10,Grants & Contributions,3685087
6101,FY 2015-16,Department of Fisheries and Oceans,Supplementary Estimates C,5,Capital,128775063
6102,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,5,Capital,25690092
6103,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,20,Other,1
6104,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,10,Grants & Contributions,365071670
6105,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,15,Operating/Program,3705724
6106,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,1,Operating/Program,78262528
6107,FY 2015-16,Department of Health,Supplementary Estimates C,10,Grants & Contributions,33635096
6108,FY 2015-16,Department of Health,Supplementary Estimates C,1,Operating/Program,-3043900
6109,FY 2015-16,Department of Health,Supplementary Estimates C,5,Capital,310001
6110,FY 2015-16,"Department of Housing, Infrastructure and Communities",Supplementary Estimates C,1,Operating/Program,49285925
6111,FY 2015-16,"Department of Housing, Infrastructure and Communities",Supplementary Estimates C,5,Capital,12537085
6112,FY 2015-16,Department of Industry,Supplementary Estimates C,10,Grants & Contributions,2063041
6113,FY 2015-16,Department of Industry,Supplementary Estimates C,5,Capital,1933042
6114,FY 2015-16,Department of Industry,Supplementary Estimates C,1,Operating/Program,-240490
6115,FY 2015-16,Department of Justice,Supplementary Estimates C,5,Grants & Contributions,2220000
6116,FY 2015-16,Department of Justice,Supplementary Estimates C,1,Operating/Program,5089448
6117,FY 2015-16,Department of National Defence,Supplementary Estimates C,1,Operating/Program,211861594
6118,FY 2015-16,Department of National Defence,Supplementary Estimates C,5,Capital,-23610074
6119,FY 2015-16,Department of Natural Resources,Supplementary Estimates C,10,Grants & Contributions,300001
6120,FY 2015-16,Department of Natural Resources,Supplementary Estimates C,1,Operating/Program,21959690
6121,FY 2015-16,Department of Natural Resources,Supplementary Estimates C,5,Capital,120001
6122,FY 2015-16,Department of Public Safety and Emergency Preparedness,Supplementary Estimates C,5,Grants & Contributions,2568148
6123,FY 2015-16,Department of Public Safety and Emergency Preparedness,Supplementary Estimates C,1,Operating/Program,50801
6124,FY 2015-16,Department of Public Works and Government Services,Supplementary Estimates C,5,Capital,42559132
6125,FY 2015-16,Department of Public Works and Government Services,Supplementary Estimates C,1,Operating/Program,40491592
6126,FY 2015-16,Department of Transport,Supplementary Estimates C,1,Operating/Program,20015160
6127,FY 2015-16,Department of Transport,Supplementary Estimates C,10,Grants & Contributions,21844683
6128,FY 2015-16,Department of Transport,Supplementary Estimates C,5,Capital,-16291230
6129,FY 2015-16,Department of Veterans Affairs,Supplementary Estimates C,5,Grants & Contributions,80862000
6130,FY 2015-16,Department of Veterans Affairs,Supplementary Estimates C,1,Operating/Program,29528515
6131,FY 2015-16,Department of Western Economic Diversification,Supplementary Estimates C,5,Grants & Contributions,3515119
6132,FY 2015-16,Department of the Environment,Supplementary Estimates C,5,Capital,-250000
6133,FY 2015-16,Department of the Environment,Supplementary Estimates C,10,Grants & Contributions,885077
6134,FY 2015-16,Department of the Environment,Supplementary Estimates C,1,Operating/Program,-198461
6135,FY 2015-16,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates C,5,Grants & Contributions,3437000
6136,FY 2015-16,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates C,5,Grants & Contributions,-4000000
6137,FY 2015-16,Financial Transactions and Reports Analysis Centre of Canada,Supplementary Estimates C,1,Operating/Program,127996
6138,FY 2015-16,Immigration and Refugee Board,Supplementary Estimates C,1,Operating/Program,1485620
6139,FY 2015-16,Library and Archives of Canada,Supplementary Estimates C,1,Operating/Program,7086016
6140,FY 2015-16,National Capital Commission,Supplementary Estimates C,5,Payments to Crown Corps,-1000000
6141,FY 2015-16,National Capital Commission,Supplementary Estimates C,1,Payments to Crown Corps,1318001
6142,FY 2015-16,National Research Council of Canada,Supplementary Estimates C,10,Grants & Contributions,13120800
6143,FY 2015-16,National Research Council of Canada,Supplementary Estimates C,1,Operating/Program,-4500000
6144,FY 2015-16,National Research Council of Canada,Supplementary Estimates C,5,Capital,176001
6145,FY 2015-16,National Security and Intelligence Review Agency Secretariat,Supplementary Estimates C,1,Operating/Program,270262
6146,FY 2015-16,Natural Sciences and Engineering Research Council,Supplementary Estimates C,5,Grants & Contributions,31158317
6147,FY 2015-16,Office of the Director of Public Prosecutions,Supplementary Estimates C,1,Operating/Program,3972030
6148,FY 2015-16,Parks Canada Agency,Supplementary Estimates C,1,Operating/Program,3540198
6149,FY 2015-16,Parliamentary Protective Service,Supplementary Estimates C,3,Operating/Program,16887833
6150,FY 2015-16,Parole Board of Canada,Supplementary Estimates C,1,Operating/Program,299150
6151,FY 2015-16,Privy Council Office,Supplementary Estimates C,1,Operating/Program,3644076
6152,FY 2015-16,Public Health Agency of Canada,Supplementary Estimates C,10,Grants & Contributions,7000000
6153,FY 2015-16,Public Health Agency of Canada,Supplementary Estimates C,1,Operating/Program,4005541
6154,FY 2015-16,Public Health Agency of Canada,Supplementary Estimates C,5,Capital,2300001
6155,FY 2015-16,Public Service Commission,Supplementary Estimates C,1,Operating/Program,504001
6156,FY 2015-16,Royal Canadian Mounted Police,Supplementary Estimates C,10,Grants & Contributions,6600000
6157,FY 2015-16,Royal Canadian Mounted Police,Supplementary Estimates C,5,Capital,25404082
6158,FY 2015-16,Royal Canadian Mounted Police,Supplementary Estimates C,1,Operating/Program,69299168
6159,FY 2015-16,Shared Services Canada,Supplementary Estimates C,5,Capital,28018231
6160,FY 2015-16,Shared Services Canada,Supplementary Estimates C,1,Operating/Program,25832848
6161,FY 2015-16,Social Sciences and Humanities Research Council,Supplementary Estimates C,1,Operating/Program,10001
6162,FY 2015-16,Social Sciences and Humanities Research Council,Supplementary Estimates C,5,Grants & Contributions,1833667
6163,FY 2015-16,Treasury Board Secretariat,Supplementary Estimates C,1,Operating/Program,42682760
6164,FY 2015-16,Treasury Board Secretariat,Supplementary Estimates C,20,Treasury Board Central,469200000
6165,FY 2015-16,VIA Rail Canada Inc.,Supplementary Estimates C,1,Payments to Crown Corps,38790134
6166,FY 2016-17,Administrative Tribunals Support Service of Canada,Main Estimates,1,Operating/Program,48879363
6167,FY 2016-17,Atlantic Canada Opportunities Agency,Main Estimates,5,Grants & Contributions,235160493
6168,FY 2016-17,Atlantic Canada Opportunities Agency,Main Estimates,1,Operating/Program,64222120
6169,FY 2016-17,Atomic Energy of Canada Limited,Main Estimates,1,Payments to Crown Corps,968615589
6170,FY 2016-17,Canada Border Services Agency,Main Estimates,5,Capital,130999015
6171,FY 2016-17,Canada Border Services Agency,Main Estimates,1,Operating/Program,1357329190
6172,FY 2016-17,Canada Council for the Arts,Main Estimates,1,Payments to Crown Corps,182347387
6173,FY 2016-17,Canada Mortgage and Housing Corporation,Main Estimates,1,Payments to Crown Corps,2027901048
6174,FY 2016-17,Canada Post Corporation,Main Estimates,1,Payments to Crown Corps,22210000
6175,FY 2016-17,Canada Revenue Agency,Main Estimates,5,Capital,37066000
6176,FY 2016-17,Canada Revenue Agency,Main Estimates,1,Operating/Program,3032118914
6177,FY 2016-17,Canada School of Public Service,Main Estimates,1,Operating/Program,69217505
6178,FY 2016-17,Canadian Air Transport Security Authority,Main Estimates,1,Payments to Crown Corps,624005722
6179,FY 2016-17,Canadian Broadcasting Corporation,Main Estimates,5,Payments to Crown Corps,4000000
6180,FY 2016-17,Canadian Broadcasting Corporation,Main Estimates,1,Payments to Crown Corps,927306798
6181,FY 2016-17,Canadian Broadcasting Corporation,Main Estimates,10,Payments to Crown Corps,106717000
6182,FY 2016-17,Canadian Centre for Occupational Health and Safety,Main Estimates,1,Operating/Program,3969600
6183,FY 2016-17,Canadian Commercial Corporation,Main Estimates,1,Payments to Crown Corps,3510000
6184,FY 2016-17,Canadian Dairy Commission,Main Estimates,1,Operating/Program,3599617
6185,FY 2016-17,Canadian Energy Regulator,Main Estimates,1,Operating/Program,80581081
6186,FY 2016-17,Canadian Food Inspection Agency,Main Estimates,5,Capital,93074099
6187,FY 2016-17,Canadian Food Inspection Agency,Main Estimates,1,Operating/Program,512042839
6188,FY 2016-17,Canadian Grain Commission,Main Estimates,1,Operating/Program,4776362
6189,FY 2016-17,Canadian High Arctic Research Station,Main Estimates,1,Operating/Program,18853197
6190,FY 2016-17,Canadian Human Rights Commission,Main Estimates,1,Operating/Program,19307335
6191,FY 2016-17,Canadian Institutes of Health Research,Main Estimates,5,Grants & Contributions,972339220
6192,FY 2016-17,Canadian Institutes of Health Research,Main Estimates,1,Operating/Program,47308587
6193,FY 2016-17,Canadian Intergovernmental Conference Secretariat,Main Estimates,1,Operating/Program,5547133
6194,FY 2016-17,Canadian Museum for Human Rights,Main Estimates,1,Payments to Crown Corps,21700000
6195,FY 2016-17,Canadian Museum of History,Main Estimates,1,Payments to Crown Corps,66199477
6196,FY 2016-17,Canadian Museum of Immigration at Pier 21,Main Estimates,1,Payments to Crown Corps,7700000
6197,FY 2016-17,Canadian Museum of Nature,Main Estimates,1,Payments to Crown Corps,26129112
6198,FY 2016-17,Canadian Northern Economic Development Agency,Main Estimates,1,Operating/Program,8874718
6199,FY 2016-17,Canadian Northern Economic Development Agency,Main Estimates,5,Grants & Contributions,16423487
6200,FY 2016-17,Canadian Nuclear Safety Commission,Main Estimates,1,Operating/Program,38686934
6201,FY 2016-17,Canadian Radio-television and Telecommunications Commission,Main Estimates,1,Operating/Program,5072595
6202,FY 2016-17,Canadian Security Intelligence Service,Main Estimates,1,Operating/Program,518483607
6203,FY 2016-17,Canadian Space Agency,Main Estimates,10,Grants & Contributions,45748000
6204,FY 2016-17,Canadian Space Agency,Main Estimates,5,Capital,192112456
6205,FY 2016-17,Canadian Space Agency,Main Estimates,1,Operating/Program,184497707
6206,FY 2016-17,Canadian Tourism Commission,Main Estimates,1,Payments to Crown Corps,70475770
6207,FY 2016-17,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,1,Operating/Program,26267261
6208,FY 2016-17,Canadian Transportation Agency,Main Estimates,1,Operating/Program,24290330
6209,FY 2016-17,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,1,Operating/Program,9025809
6210,FY 2016-17,Communications Security Establishment,Main Estimates,1,Operating/Program,546109459
6211,FY 2016-17,Copyright Board,Main Estimates,1,Operating/Program,2813641
6212,FY 2016-17,Correctional Service of Canada,Main Estimates,5,Capital,185711724
6213,FY 2016-17,Correctional Service of Canada,Main Estimates,1,Operating/Program,1925556005
6214,FY 2016-17,Courts Administration Service,Main Estimates,1,Operating/Program,65199516
6215,FY 2016-17,Department for Women and Gender Equality,Main Estimates,5,Grants & Contributions,20630000
6216,FY 2016-17,Department for Women and Gender Equality,Main Estimates,1,Operating/Program,9801615
6217,FY 2016-17,Department of Agriculture and Agri-Food,Main Estimates,5,Capital,74750000
6218,FY 2016-17,Department of Agriculture and Agri-Food,Main Estimates,10,Grants & Contributions,343252000
6219,FY 2016-17,Department of Agriculture and Agri-Food,Main Estimates,1,Operating/Program,534827658
6220,FY 2016-17,Department of Canadian Heritage,Main Estimates,5,Grants & Contributions,1084961970
6221,FY 2016-17,Department of Canadian Heritage,Main Estimates,1,Operating/Program,183944057
6222,FY 2016-17,Department of Citizenship and Immigration,Main Estimates,5,Capital,13706741
6223,FY 2016-17,Department of Citizenship and Immigration,Main Estimates,1,Operating/Program,604119156
6224,FY 2016-17,Department of Citizenship and Immigration,Main Estimates,10,Grants & Contributions,1152355205
6225,FY 2016-17,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,10,Grants & Contributions,6652765968
6226,FY 2016-17,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,1,Operating/Program,658200538
6227,FY 2016-17,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,5,Capital,41432179
6228,FY 2016-17,Department of Employment and Social Development,Main Estimates,5,Grants & Contributions,1692443880
6229,FY 2016-17,Department of Employment and Social Development,Main Estimates,1,Operating/Program,607999524
6230,FY 2016-17,Department of Finance,Main Estimates,1,Operating/Program,90740545
6231,FY 2016-17,Department of Finance,Main Estimates,5,Other,1
6232,FY 2016-17,Department of Fisheries and Oceans,Main Estimates,10,Grants & Contributions,65510981
6233,FY 2016-17,Department of Fisheries and Oceans,Main Estimates,5,Capital,809655097
6234,FY 2016-17,Department of Fisheries and Oceans,Main Estimates,1,Operating/Program,1238519588
6235,FY 2016-17,"Department of Foreign Affairs, Trade and Development",Main Estimates,20,Other,1
6236,FY 2016-17,"Department of Foreign Affairs, Trade and Development",Main Estimates,10,Grants & Contributions,3529676551
6237,FY 2016-17,"Department of Foreign Affairs, Trade and Development",Main Estimates,1,Operating/Program,1458048856
6238,FY 2016-17,"Department of Foreign Affairs, Trade and Development",Main Estimates,15,Operating/Program,50779000
6239,FY 2016-17,"Department of Foreign Affairs, Trade and Development",Main Estimates,5,Capital,124444220
6240,FY 2016-17,Department of Health,Main Estimates,5,Capital,25407249
6241,FY 2016-17,Department of Health,Main Estimates,10,Grants & Contributions,1785339382
6242,FY 2016-17,Department of Health,Main Estimates,1,Operating/Program,1768947706
6243,FY 2016-17,"Department of Housing, Infrastructure and Communities",Main Estimates,5,Capital,68690586
6244,FY 2016-17,"Department of Housing, Infrastructure and Communities",Main Estimates,10,Grants & Contributions,1612886500
6245,FY 2016-17,"Department of Housing, Infrastructure and Communities",Main Estimates,1,Operating/Program,110040788
6246,FY 2016-17,Department of Industry,Main Estimates,5,Capital,7833000
6247,FY 2016-17,Department of Industry,Main Estimates,10,Grants & Contributions,723984677
6248,FY 2016-17,Department of Industry,Main Estimates,1,Operating/Program,342868928
6249,FY 2016-17,Department of Justice,Main Estimates,5,Grants & Contributions,365233777
6250,FY 2016-17,Department of Justice,Main Estimates,1,Operating/Program,234999799
6251,FY 2016-17,Department of National Defence,Main Estimates,10,Grants & Contributions,164592820
6252,FY 2016-17,Department of National Defence,Main Estimates,5,Capital,3395930409
6253,FY 2016-17,Department of National Defence,Main Estimates,1,Operating/Program,13765146779
6254,FY 2016-17,Department of Natural Resources,Main Estimates,5,Capital,53318447
6255,FY 2016-17,Department of Natural Resources,Main Estimates,10,Grants & Contributions,292249050
6256,FY 2016-17,Department of Natural Resources,Main Estimates,1,Operating/Program,450234684
6257,FY 2016-17,Department of Public Safety and Emergency Preparedness,Main Estimates,5,Grants & Contributions,952867801
6258,FY 2016-17,Department of Public Safety and Emergency Preparedness,Main Estimates,1,Operating/Program,128080019
6259,FY 2016-17,Department of Public Works and Government Services,Main Estimates,5,Capital,1183196646
6260,FY 2016-17,Department of Public Works and Government Services,Main Estimates,1,Operating/Program,1563893483
6261,FY 2016-17,Department of Transport,Main Estimates,20,Grants & Contributions,38062477
6262,FY 2016-17,Department of Transport,Main Estimates,10,Grants & Contributions,258354429
6263,FY 2016-17,Department of Transport,Main Estimates,15,Grants & Contributions,103219554
6264,FY 2016-17,Department of Transport,Main Estimates,5,Capital,119226521
6265,FY 2016-17,Department of Transport,Main Estimates,1,Operating/Program,480702203
6266,FY 2016-17,Department of Veterans Affairs,Main Estimates,5,Grants & Contributions,2725592000
6267,FY 2016-17,Department of Veterans Affairs,Main Estimates,1,Operating/Program,870518397
6268,FY 2016-17,Department of Western Economic Diversification,Main Estimates,1,Operating/Program,34870554
6269,FY 2016-17,Department of Western Economic Diversification,Main Estimates,5,Grants & Contributions,134432914
6270,FY 2016-17,Department of the Environment,Main Estimates,5,Capital,60539382
6271,FY 2016-17,Department of the Environment,Main Estimates,10,Grants & Contributions,154303510
6272,FY 2016-17,Department of the Environment,Main Estimates,1,Operating/Program,605313460
6273,FY 2016-17,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,5,Grants & Contributions,260021718
6274,FY 2016-17,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,1,Operating/Program,38180803
