_id,fy_ef,organization,estimates_document,statutory_item,authorities
4121,FY 2014-15,"Department of Housing, Infrastructure and Communities",Main Estimates,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),1973269432
4122,FY 2014-15,Department of Industry,Main Estimates,Contributions to employee benefit plans,50342452
4123,FY 2014-15,Department of Industry,Main Estimates,Salary and Motor Car Allowance,84300
4124,FY 2014-15,Department of Industry,Main Estimates,Liabilities under the Canada Small Business Financing Act,73552000
4125,FY 2014-15,Department of Industry,Main Estimates,Canadian Intellectual Property Office Revolving Fund,8817682
4126,FY 2014-15,Department of Industry,Main Estimates,Canadian Youth Business Foundation,9000000
4127,FY 2014-15,Department of Industry,Main Estimates,Grant and Contribution to Genome Canada,63700000
4128,FY 2014-15,Department of Justice,Main Estimates,Contributions to employee benefit plans,76161272
4129,FY 2014-15,Department of Justice,Main Estimates,Salary and Motor Car Allowance,80300
4130,FY 2014-15,Department of National Defence,Main Estimates,Salary and Motor Car Allowance,80300
4131,FY 2014-15,Department of National Defence,Main Estimates,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",25700
4132,FY 2014-15,Department of National Defence,Main Estimates,Payments under Parts I-IV of the Defence Services Pension Continuation Act,929668
4133,FY 2014-15,Department of National Defence,Main Estimates,Payments under the Supplementary Retirement Benefits Act,4492604
4134,FY 2014-15,Department of National Defence,Main Estimates,Contributions to employee benefit plans (Members of the Military),961624109
4135,FY 2014-15,Department of National Defence,Main Estimates,Contributions to employee benefit plans,272159658
4136,FY 2014-15,Department of Natural Resources,Main Estimates,Grant to the Canada Foundation for Sustainable Development Technology for the Next Generation Biofuels Fund,79338000
4137,FY 2014-15,Department of Natural Resources,Main Estimates,Payments to the Nova Scotia Offshore Revenue Account,68216000
4138,FY 2014-15,Department of Natural Resources,Main Estimates,Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources,14394000
4139,FY 2014-15,Department of Natural Resources,Main Estimates,Contribution to the Canada/Newfoundland Offshore Petroleum Board,7756000
4140,FY 2014-15,Department of Natural Resources,Main Estimates,Salary and Motor Car Allowance,80300
4141,FY 2014-15,Department of Natural Resources,Main Estimates,Contributions to employee benefit plans,55167866
4142,FY 2014-15,Department of Natural Resources,Main Estimates,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,3550000
4143,FY 2014-15,Department of Natural Resources,Main Estimates,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,1199509000
4144,FY 2014-15,Department of Public Safety and Emergency Preparedness,Main Estimates,Salary and Motor Car Allowance,80300
4145,FY 2014-15,Department of Public Safety and Emergency Preparedness,Main Estimates,Contributions to employee benefit plans,14519955
4146,FY 2014-15,Department of Public Works and Government Services,Main Estimates,Contributions to employee benefit plans,112067505
4147,FY 2014-15,Department of Public Works and Government Services,Main Estimates,Real Property Services Revolving Fund,4600000
4148,FY 2014-15,Department of Public Works and Government Services,Main Estimates,Translation Bureau Revolving Fund,1340709
4149,FY 2014-15,Department of Public Works and Government Services,Main Estimates,Salary and Motor Car Allowance,80300
4150,FY 2014-15,Department of Transport,Main Estimates,Contributions to employee benefit plans,68506977
4151,FY 2014-15,Department of Transport,Main Estimates,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,103350000
4152,FY 2014-15,Department of Transport,Main Estimates,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
4153,FY 2014-15,Department of Transport,Main Estimates,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,62836173
4154,FY 2014-15,Department of Transport,Main Estimates,Salary and Motor Car Allowance,80300
4155,FY 2014-15,Department of Veterans Affairs,Main Estimates,Contributions to employee benefit plans,35260349
4156,FY 2014-15,Department of Veterans Affairs,Main Estimates,Veterans Insurance Actuarial Liability Adjustment,175000
4157,FY 2014-15,Department of Veterans Affairs,Main Estimates,Re-establishment credits under section 8 of the War Service Grants Act,12000
4158,FY 2014-15,Department of Veterans Affairs,Main Estimates,Returned Soldiers Insurance Actuarial Liability Adjustment,10000
4159,FY 2014-15,Department of Veterans Affairs,Main Estimates,Salary and Motor Car Allowance,80300
4160,FY 2014-15,Department of Western Economic Diversification,Main Estimates,Contributions to employee benefit plans,4113993
4161,FY 2014-15,Department of Western Economic Diversification,Main Estimates,Salary and Motor Car Allowance,2000
4162,FY 2014-15,Department of the Environment,Main Estimates,Salary and Motor Car Allowance,80300
4163,FY 2014-15,Department of the Environment,Main Estimates,Contributions to employee benefit plans,84846736
4164,FY 2014-15,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,Contributions to employee benefit plans,4623953
4165,FY 2014-15,Federal Economic Development Agency for Southern Ontario,Main Estimates,Contributions to employee benefit plans,3093164
4166,FY 2014-15,Federal Economic Development Agency for Southern Ontario,Main Estimates,Salary and Motor Car Allowance,2000
4167,FY 2014-15,Financial Transactions and Reports Analysis Centre of Canada,Main Estimates,Contributions to employee benefit plans,5385654
4168,FY 2014-15,House of Commons,Main Estimates,Contributions to employee benefit plans,33173938
4169,FY 2014-15,House of Commons,Main Estimates,Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account,110432350
4170,FY 2014-15,Immigration and Refugee Board,Main Estimates,Contributions to employee benefit plans,13191333
4171,FY 2014-15,Impact Assessment Agency of Canada,Main Estimates,Contributions to employee benefit plans,2736320
4172,FY 2014-15,Indian Residential Schools Truth and Reconciliation Commission,Main Estimates,Contributions to employee benefit plans,7325
4173,FY 2014-15,International Joint Commission (Canadian Section),Main Estimates,Contributions to employee benefit plans,577500
4174,FY 2014-15,Library and Archives of Canada,Main Estimates,Contributions to employee benefit plans,9433379
4175,FY 2014-15,Library of Parliament,Main Estimates,Contributions to employee benefit plans,4852972
4176,FY 2014-15,Military Grievances External Review Committee,Main Estimates,Contributions to employee benefit plans,585584
4177,FY 2014-15,Military Police Complaints Commission,Main Estimates,Contributions to employee benefit plans,447423
4178,FY 2014-15,National Research Council of Canada,Main Estimates,Contributions to employee benefit plans,43900510
4179,FY 2014-15,National Research Council of Canada,Main Estimates,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,197300000
4180,FY 2014-15,National Security and Intelligence Review Agency Secretariat,Main Estimates,Contributions to employee benefit plans,309039
4181,FY 2014-15,Natural Sciences and Engineering Research Council,Main Estimates,Contributions to employee benefit plans,4926534
4182,FY 2014-15,Northern Pipeline Agency,Main Estimates,Contributions to employee benefit plans,48675
4183,FY 2014-15,Office of the Auditor General,Main Estimates,Contributions to employee benefit plans,9793894
4184,FY 2014-15,Office of the Chief Electoral Officer,Main Estimates,Salary of the Chief Electoral Officer,295500
4185,FY 2014-15,Office of the Chief Electoral Officer,Main Estimates,Electoral expenditures,59859431
4186,FY 2014-15,Office of the Chief Electoral Officer,Main Estimates,Contributions to employee benefit plans,6417216
4187,FY 2014-15,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,Contributions to employee benefit plans,666777
4188,FY 2014-15,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",500885033
4189,FY 2014-15,Office of the Commissioner of Lobbying,Main Estimates,Contributions to employee benefit plans,416721
4190,FY 2014-15,Office of the Commissioner of Official Languages,Main Estimates,Contributions to employee benefit plans,2153208
4191,FY 2014-15,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,Contributions to employee benefit plans,760125
4192,FY 2014-15,Office of the Correctional Investigator of Canada,Main Estimates,Contributions to employee benefit plans,539354
4193,FY 2014-15,Office of the Director of Public Prosecutions,Main Estimates,Contributions to employee benefit plans,18236040
4194,FY 2014-15,Office of the Governor General's Secretary,Main Estimates,Salary of the Governor General,274120
4195,FY 2014-15,Office of the Governor General's Secretary,Main Estimates,Annuities payable under the Governor General's Act,555000
4196,FY 2014-15,Office of the Governor General's Secretary,Main Estimates,Contributions to employee benefit plans,2008173
4197,FY 2014-15,Office of the Intelligence Commissioner,Main Estimates,Contributions to employee benefit plans,177261
4198,FY 2014-15,Office of the Public Sector Integrity Commissioner,Main Estimates,Contributions to employee benefit plans,502540
4199,FY 2014-15,Office of the Senate Ethics Officer,Main Estimates,Contributions to employee benefit plans,107250
4200,FY 2014-15,Office of the Superintendent of Financial Institutions,Main Estimates,Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act,141825838
4201,FY 2014-15,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,Contributions to employee benefit plans,3674639
4202,FY 2014-15,Parks Canada Agency,Main Estimates,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act,111000000
4203,FY 2014-15,Parks Canada Agency,Main Estimates,Contributions to employee benefit plans,46583735
4204,FY 2014-15,Parole Board of Canada,Main Estimates,Contributions to employee benefit plans,5771262
4205,FY 2014-15,Patented Medicine Prices Review Board,Main Estimates,Contributions to employee benefit plans,977682
4206,FY 2014-15,Privy Council Office,Main Estimates,Contributions to employee benefit plans,12722263
4207,FY 2014-15,Privy Council Office,Main Estimates,Salary and Motor Car Allowance,330100
4208,FY 2014-15,Public Health Agency of Canada,Main Estimates,Contributions to employee benefit plans,29373939
4209,FY 2014-15,Public Health Agency of Canada,Main Estimates,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",13679690
4210,FY 2014-15,Public Service Commission,Main Estimates,Contributions to employee benefit plans,12016810
4211,FY 2014-15,Public Service Labour Relations Board,Main Estimates,Contributions to employee benefit plans,1243633
4212,FY 2014-15,Public Service Staffing Tribunal,Main Estimates,Contributions to employee benefit plans,589208
4213,FY 2014-15,Registrar of the Supreme Court of Canada,Main Estimates,Contributions to employee benefit plans,2325669
4214,FY 2014-15,Registrar of the Supreme Court of Canada,Main Estimates,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",6756473
4215,FY 2014-15,Registry of the Competition Tribunal,Main Estimates,Contributions to employee benefit plans,159137
4216,FY 2014-15,Registry of the Public Servants Disclosure Protection Tribunal,Main Estimates,Contributions to employee benefit plans,181517
4217,FY 2014-15,Registry of the Specific Claims Tribunal,Main Estimates,Contributions to employee benefit plans,168917
4218,FY 2014-15,Royal Canadian Mounted Police,Main Estimates,Contributions to employee benefit plans,87318054
4219,FY 2014-15,Royal Canadian Mounted Police,Main Estimates,Pensions and other employee benefits - Members of the Force,349272217
4220,FY 2014-15,Royal Canadian Mounted Police,Main Estimates,Pensions under the Royal Canadian Mounted Police Pension Continuation Act,13000000
4221,FY 2014-15,Royal Canadian Mounted Police External Review Committee,Main Estimates,Contributions to employee benefit plans,102864
4222,FY 2014-15,Senate,Main Estimates,Contributions to employee benefit plans,7262618
4223,FY 2014-15,Senate,Main Estimates,"Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",26690200
4224,FY 2014-15,Shared Services Canada,Main Estimates,Contributions to employee benefit plans,80631826
4225,FY 2014-15,Social Sciences and Humanities Research Council,Main Estimates,Contributions to employee benefit plans,2509410
4226,FY 2014-15,Statistics Canada,Main Estimates,Contributions to employee benefit plans,56811148
4227,FY 2014-15,The National Battlefields Commission,Main Estimates,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,1850000
4228,FY 2014-15,The National Battlefields Commission,Main Estimates,Contributions to employee benefit plans,360466
4229,FY 2014-15,Transportation Appeal Tribunal of Canada,Main Estimates,Contributions to employee benefit plans,120680
4230,FY 2014-15,Treasury Board Secretariat,Main Estimates,Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act,443000000
4231,FY 2014-15,Treasury Board Secretariat,Main Estimates,Salary and Motor Car Allowance,80300
4232,FY 2014-15,Treasury Board Secretariat,Main Estimates,Contributions to employee benefit plans,27434173
4233,FY 2014-15,Veterans Review and Appeal Board,Main Estimates,Contributions to employee benefit plans,1409914
4234,FY 2014-15,Canadian Northern Economic Development Agency,Supplementary Estimates A,Contributions to employee benefit plans,182746
4235,FY 2014-15,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,Contributions to employee benefit plans,2540676
4236,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates A,Contributions to employee benefit plans,799222
4237,FY 2014-15,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates A,Contributions to employee benefit plans,422823
4238,FY 2014-15,"Department of Housing, Infrastructure and Communities",Supplementary Estimates A,Contributions to employee benefit plans,6233080
4239,FY 2014-15,House of Commons,Supplementary Estimates A,Contributions to employee benefit plans,80225
4240,FY 2014-15,House of Commons,Supplementary Estimates A,Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account,1171900
4241,FY 2014-15,Canada Revenue Agency,Supplementary Estimates B,Contributions to employee benefit plans,7280589
4242,FY 2014-15,Canada Revenue Agency,Supplementary Estimates B,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",-80000000
4243,FY 2014-15,Canadian Energy Regulator,Supplementary Estimates B,Contributions to employee benefit plans,700973
4244,FY 2014-15,Canadian Food Inspection Agency,Supplementary Estimates B,Contributions to employee benefit plans,3014388
4245,FY 2014-15,Communications Security Establishment,Supplementary Estimates B,Contributions to employee benefit plans,184187
4246,FY 2014-15,Department of Agriculture and Agri-Food,Supplementary Estimates B,Contributions to employee benefit plans,340000
4247,FY 2014-15,Department of Canadian Heritage,Supplementary Estimates B,Contributions to employee benefit plans,11259
4248,FY 2014-15,Department of Citizenship and Immigration,Supplementary Estimates B,Contributions to employee benefit plans,554295
4249,FY 2014-15,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,Contributions to employee benefit plans,534535
4250,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates B,Contributions to employee benefit plans,-666944
4251,FY 2014-15,Department of Finance,Supplementary Estimates B,"Canadian Regulatory Authority (Budget Implementation Act, 2009)",115800000
4252,FY 2014-15,Department of Finance,Supplementary Estimates B,Payments to International Development Association,441610000
4253,FY 2014-15,Department of Finance,Supplementary Estimates B,Contributions to employee benefit plans,177293
4254,FY 2014-15,Department of Finance,Supplementary Estimates B,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",1831000
4255,FY 2014-15,Department of Finance,Supplementary Estimates B,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),6922000
4256,FY 2014-15,Department of Finance,Supplementary Estimates B,Other Interest Costs,2755580
4257,FY 2014-15,Department of Finance,Supplementary Estimates B,Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act),95042000
4258,FY 2014-15,Department of Finance,Supplementary Estimates B,Interest on Unmatured Debt,-329677655
4259,FY 2014-15,Department of Fisheries and Oceans,Supplementary Estimates B,Contributions to employee benefit plans,1371870
4260,FY 2014-15,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,Advance Market Commitment for Pneumococcal Vaccines,10915566
4261,FY 2014-15,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,Contributions to employee benefit plans,1273553
4262,FY 2014-15,Department of Health,Supplementary Estimates B,Contributions to employee benefit plans,1061481
4263,FY 2014-15,Department of Industry,Supplementary Estimates B,Contributions to employee benefit plans,443587
4264,FY 2014-15,Department of Justice,Supplementary Estimates B,Contributions to employee benefit plans,1260292
4265,FY 2014-15,Department of National Defence,Supplementary Estimates B,Contributions to employee benefit plans (Members of the Military),9221
4266,FY 2014-15,Department of Natural Resources,Supplementary Estimates B,Contributions to employee benefit plans,464416
4267,FY 2014-15,Department of Transport,Supplementary Estimates B,Contributions to employee benefit plans,622923
4268,FY 2014-15,Department of Transport,Supplementary Estimates B,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,23600000
4269,FY 2014-15,Department of the Environment,Supplementary Estimates B,Contributions to employee benefit plans,1052512
4270,FY 2014-15,Department of the Environment,Supplementary Estimates B,Nature Conservancy of Canada,8792488
4271,FY 2014-15,Financial Transactions and Reports Analysis Centre of Canada,Supplementary Estimates B,Contributions to employee benefit plans,19559
4272,FY 2014-15,House of Commons,Supplementary Estimates B,Contributions to employee benefit plans,752493
4273,FY 2014-15,Impact Assessment Agency of Canada,Supplementary Estimates B,Contributions to employee benefit plans,16842
4274,FY 2014-15,Indian Residential Schools Truth and Reconciliation Commission,Supplementary Estimates B,Contributions to employee benefit plans,175729
4275,FY 2014-15,National Research Council of Canada,Supplementary Estimates B,Contributions to employee benefit plans,460000
4276,FY 2014-15,Natural Sciences and Engineering Research Council,Supplementary Estimates B,Contributions to employee benefit plans,30000
4277,FY 2014-15,Parks Canada Agency,Supplementary Estimates B,Contributions to employee benefit plans,170751
4278,FY 2014-15,Public Health Agency of Canada,Supplementary Estimates B,Contributions to employee benefit plans,20210
4279,FY 2014-15,Royal Canadian Mounted Police,Supplementary Estimates B,Contributions to employee benefit plans,512625
4280,FY 2014-15,Royal Canadian Mounted Police,Supplementary Estimates B,Pensions and other employee benefits - Members of the Force,1781816
4281,FY 2014-15,Shared Services Canada,Supplementary Estimates B,Contributions to employee benefit plans,41434
4282,FY 2014-15,Social Sciences and Humanities Research Council,Supplementary Estimates B,Contributions to employee benefit plans,76500
4283,FY 2014-15,Statistics Canada,Supplementary Estimates B,Contributions to employee benefit plans,6570813
4284,FY 2014-15,Canada Border Services Agency,Supplementary Estimates C,Contributions to employee benefit plans,921816
4285,FY 2014-15,Canadian Food Inspection Agency,Supplementary Estimates C,Contributions to employee benefit plans,4442690
4286,FY 2014-15,Canadian Radio-television and Telecommunications Commission,Supplementary Estimates C,Contributions to employee benefit plans,33373
4287,FY 2014-15,Canadian Transportation Accident Investigation and Safety Board,Supplementary Estimates C,Contributions to employee benefit plans,39000
4288,FY 2014-15,Department of Citizenship and Immigration,Supplementary Estimates C,Contributions to employee benefit plans,191594
4289,FY 2014-15,Department of Citizenship and Immigration,Supplementary Estimates C,Fees returned in connection with a terminated application in Investor and Entrepreneur Classes,18000000
4290,FY 2014-15,Department of Citizenship and Immigration,Supplementary Estimates C,Fees returned in connection with a terminated application,-19250000
4291,FY 2014-15,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates C,Contributions to employee benefit plans,78176
4292,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Contributions to employee benefit plans,2374751
4293,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,7000000
4294,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,48067976
4295,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,-14000000
4296,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Allowance payments (Old Age Security Act),-4210730
4297,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Guaranteed Income Supplement Payments (Old Age Security Act),-97856032
4298,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Old Age Security payments (Old Age Security Act),-322916684
4299,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,13132724
4300,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,16118788
4301,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,26404474
4302,FY 2014-15,Department of Employment and Social Development,Supplementary Estimates C,Payments related to the direct financing arrangement under the Apprentice Loans Act,2000000
4303,FY 2014-15,Department of Finance,Supplementary Estimates C,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",7665000
4304,FY 2014-15,Department of Finance,Supplementary Estimates C,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),34159000
4305,FY 2014-15,Department of Finance,Supplementary Estimates C,Contributions to employee benefit plans,45113
4306,FY 2014-15,Department of Finance,Supplementary Estimates C,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),215000
4307,FY 2014-15,Department of Finance,Supplementary Estimates C,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",244333
4308,FY 2014-15,Department of Finance,Supplementary Estimates C,Other Interest Costs,-34483433
4309,FY 2014-15,Department of Finance,Supplementary Estimates C,"Canadian Regulatory Authority (Budget Implementation Act, 2009)",35000000
4310,FY 2014-15,Department of Finance,Supplementary Estimates C,Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act),-7091000
4311,FY 2014-15,Department of Finance,Supplementary Estimates C,Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act),44000000
4312,FY 2014-15,Department of Finance,Supplementary Estimates C,Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act),33000000
4313,FY 2014-15,Department of Finance,Supplementary Estimates C,Interest on Unmatured Debt,-1047672626
4314,FY 2014-15,Department of Fisheries and Oceans,Supplementary Estimates C,Contributions to employee benefit plans,403550
4315,FY 2014-15,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates C,Contributions to employee benefit plans,3957209
4316,FY 2014-15,Department of National Defence,Supplementary Estimates C,Contributions to employee benefit plans (Members of the Military),1471074
4317,FY 2014-15,Department of Transport,Supplementary Estimates C,Contributions to employee benefit plans,272428
4318,FY 2014-15,Department of the Environment,Supplementary Estimates C,Contributions to employee benefit plans,888040
4319,FY 2014-15,House of Commons,Supplementary Estimates C,Contributions to employee benefit plans,1740534
4320,FY 2014-15,National Research Council of Canada,Supplementary Estimates C,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,-43400000
4321,FY 2014-15,Privy Council Office,Supplementary Estimates C,Contributions to employee benefit plans,370614
4322,FY 2014-15,Public Health Agency of Canada,Supplementary Estimates C,Contributions to employee benefit plans,144615
4323,FY 2015-16,Administrative Tribunals Support Service of Canada,Main Estimates,Contributions to employee benefit plans,8598993
4324,FY 2015-16,Atlantic Canada Opportunities Agency,Main Estimates,Salary and Motor Car Allowance,2000
4325,FY 2015-16,Atlantic Canada Opportunities Agency,Main Estimates,Contributions to employee benefit plans,8609600
4326,FY 2015-16,Atomic Energy of Canada Limited,Main Estimates,Payments to Atomic Energy of Canada Limited,17000000
4327,FY 2015-16,Canada Border Services Agency,Main Estimates,Contributions to employee benefit plans,182608133
4328,FY 2015-16,Canada Revenue Agency,Main Estimates,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,169466255
4329,FY 2015-16,Canada Revenue Agency,Main Estimates,Salary and Motor Car Allowance,82100
4330,FY 2015-16,Canada Revenue Agency,Main Estimates,Children's special allowance payments,237000000
4331,FY 2015-16,Canada Revenue Agency,Main Estimates,Contributions to employee benefit plans,418871260
4332,FY 2015-16,Canada School of Public Service,Main Estimates,Contributions to employee benefit plans,5802267
4333,FY 2015-16,Canada School of Public Service,Main Estimates,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,11283013
4334,FY 2015-16,Canadian Centre for Occupational Health and Safety,Main Estimates,Contributions to employee benefit plans,1100669
4335,FY 2015-16,Canadian Energy Regulator,Main Estimates,Contributions to employee benefit plans,8184430
4336,FY 2015-16,Canadian Food Inspection Agency,Main Estimates,Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act,53161000
4337,FY 2015-16,Canadian Food Inspection Agency,Main Estimates,Contributions to employee benefit plans,77958263
4338,FY 2015-16,Canadian Food Inspection Agency,Main Estimates,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",3500000
4339,FY 2015-16,Canadian Grain Commission,Main Estimates,Contributions to employee benefit plans,591479
4340,FY 2015-16,Canadian High Arctic Research Station,Main Estimates,Contributions to employee benefit plans,139948
4341,FY 2015-16,Canadian Human Rights Commission,Main Estimates,Contributions to employee benefit plans,2512177
4342,FY 2015-16,Canadian Institutes of Health Research,Main Estimates,Contributions to employee benefit plans,5833308
4343,FY 2015-16,Canadian Intergovernmental Conference Secretariat,Main Estimates,Contributions to employee benefit plans,417888
4344,FY 2015-16,Canadian Northern Economic Development Agency,Main Estimates,Contributions to employee benefit plans,1257454
4345,FY 2015-16,Canadian Nuclear Safety Commission,Main Estimates,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,89757117
4346,FY 2015-16,Canadian Nuclear Safety Commission,Main Estimates,Contributions to employee benefit plans,4501548
4347,FY 2015-16,Canadian Radio-television and Telecommunications Commission,Main Estimates,Contributions to employee benefit plans,6877018
4348,FY 2015-16,Canadian Security Intelligence Service,Main Estimates,Contributions to employee benefit plans,48821568
4349,FY 2015-16,Canadian Space Agency,Main Estimates,Contributions to employee benefit plans,9803222
4350,FY 2015-16,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,Contributions to employee benefit plans,3439498
4351,FY 2015-16,Canadian Transportation Agency,Main Estimates,Contributions to employee benefit plans,3420038
4352,FY 2015-16,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,Contributions to employee benefit plans,979194
4353,FY 2015-16,Communications Security Establishment,Main Estimates,Contributions to employee benefit plans,34370029
4354,FY 2015-16,Copyright Board,Main Estimates,Contributions to employee benefit plans,291796
4355,FY 2015-16,Correctional Service of Canada,Main Estimates,Contributions to employee benefit plans,244797694
4356,FY 2015-16,Courts Administration Service,Main Estimates,Contributions to employee benefit plans,6632121
4357,FY 2015-16,Department for Women and Gender Equality,Main Estimates,Contributions to employee benefit plans,1228722
4358,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Loan guarantees under the Canadian Agricultural Loans Act,13111013
4359,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,118513335
4360,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the AgriInsurance program,640800000
4361,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Salary and Motor Car Allowance,82100
4362,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Grants to agencies established under the Farm Products Agencies Act,100000
4363,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriStability Program,260300000
4364,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriInvest Program,143700000
4365,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,Contributions to employee benefit plans,71292819
4366,FY 2015-16,Department of Agriculture and Agri-Food,Main Estimates,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",65900000
4367,FY 2015-16,Department of Canadian Heritage,Main Estimates,Supplementary retirement benefits - Former Lieutenant Governors,182000
4368,FY 2015-16,Department of Canadian Heritage,Main Estimates,Payments under the Lieutenant Governors Superannuation Act,637000
